Industry,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025
Construction,Data users share of total EU companies,,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8
Education,Data users share of total EU companies,,7.9,8.0,8.1,8.2,8.5,8.5,8.5,8.6
Financial Services,Data users share of total EU companies,,18.2,18.4,18.7,19.1,19.8,19.8,19.9,20.4
Healthcare,Data users share of total EU companies,,5.2,5.3,5.4,5.5,5.6,5.6,5.7,5.7
Information and communications,Data users share of total EU companies,,14.0,14.1,14.5,14.9,15.5,15.5,15.6,16.0
Manufacturing,Data users share of total EU companies,,8.6,8.7,8.8,9.0,9.2,9.2,9.3,9.4
Professional services,Data users share of total EU companies,,8.9,8.9,9.1,9.2,9.3,9.3,9.4,9.7
Retail and Wholesale,Data users share of total EU companies,,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.7
Transport and Storage,Data users share of total EU companies,,12.5,12.6,12.8,13.1,13.5,13.5,13.7,14.2
Utilities,Data users share of total EU companies,,17.0,17.0,17.4,17.6,18.1,18.4,18.3,18.9
Construction,Number of Data Users,40389.0,42200.0,42700.0,44000.0,44950.0,45758.0,45953.0,46447.0,47555.0
Education,Number of Data Users,15988.0,13150.0,13350.0,13550.0,13800.0,14252.0,14351.0,14399.0,14652.0
Financial Services,Number of Data Users,40805.0,37600.0,38100.0,38900.0,40000.0,41507.0,41702.0,42298.0,43505.0
Healthcare,Number of Data Users,33596.0,28450.0,28900.0,29500.0,30150.0,30855.0,31152.0,31548.0,32353.0
Information and communications,Number of Data Users,63483.0,69750.0,70850.0,74550.0,76700.0,80464.0,80855.0,82145.0,84809.0
Manufacturing,Number of Data Users,110142.0,109900.0,111050.0,116700.0,119400.0,121921.0,123007.0,124493.0,128114.0
Professional services,Number of Data Users,162074.0,169350.0,171700.0,178550.0,181900.0,185831.0,186560.0,189390.0,199221.0
Retail and Wholesale,Number of Data Users,77672.0,79650.0,80550.0,83200.0,85250.0,88265.0,88455.0,89895.0,93160.0
Transport and Storage,Number of Data Users,77591.0,79700.0,80450.0,83450.0,85350.0,88565.0,89105.0,90645.0,94560.0
Utilities,Number of Data Users,11860.0,12950.0,13100.0,13750.0,14000.0,14452.0,14751.0,14849.0,15452.0
Construction,Data Market Value,225583956,238587883,254470159,275256403,297384570,320543631,327352763,343889056,382818275
Education,Data Market Value,1318762680,1347524482,1442019834,1562372098,1715121217,1903055810,1968567369,2050526326,2228281138
Financial services,Data Market Value,9407233821,10091106881,10760130579,11816264024,13145028273,14863551571,15744575137,16860781829,19002684437
Healthcare,Data Market Value,1453987380,1560461517,1675828265,1846117875,2031141322,2223398239,2319820405,2485221033,2772336076
Information & communications,Data Market Value,4456923499,4876189709,5231061259,5865115412,6531147421,7465448649,7927541604,8453202357,9658316432
Manufacturing,Data Market Value,10057588723,10991275147,11736408186,12813522607,14011673295,15264506656,15842327105,16816490988,19404446543
Professional services,Data Market Value,6982202868,7337561933,7855180617,8490414971,9116891820,9564662498,10110497456,10777509983,13388337192
Public administration,Data Market Value,2627786503,2808403739,3010954951,3280732620,3642739672,3983679082,4083031036,4282014259,4583938119
Retail and wholesale,Data Market Value,5107100558,5450824620,5809730338,6319482191,6957172781,7643730823,8019795468,8623275616,10149472022
Transport and storage,Data Market Value,2212052345,2307007374,2463842996,2689866138,2937002681,3269518027,3487636893,3768996837,4561345624
Utilities,Data Market Value,1892069061,2107493748,2239979140,2466270272,2728546881,2997484735,3122890562,3372781172,4102027550
Home,Data Market Value,1679197946,1771410666,1871133807,2070607956,2172517698,2287136454,2320211240,2418738174,2821538433
Construction,ICT Spending and Share of Data Market on ICT Spending,5715000000,4636672010,4338910745,3739610273,3617910761,3650034423,3804807176,3886963650,4191114792
Education,ICT Spending and Share of Data Market on ICT Spending,11166000000,12153517663,13636576629,11602912705,11776783698,12269606760,12889376976,13057806227,14148186467
Financial services,ICT Spending and Share of Data Market on ICT Spending,93290000000,97816967138,104753702283,76714775786,78005179318,80841448115,84961123463,87142292804,97719207228
Healthcare,ICT Spending and Share of Data Market on ICT Spending,15947000000,15638627038,16115954197,14006211201,14125440698,14464182811,15131101361,15573438568,17516985714
Information & communications,ICT Spending and Share of Data Market on ICT Spending,95374000000,104271000000,110332000000,40512528690,42235020521,49040106303,5102571974,52189720426,55977393685
Manufacturing,ICT Spending and Share of Data Market on ICT Spending,47072000000,61813000000,65084000000,86281991784,87615019777,91828846506,96834380149,100010993281,114161907647
Professional services,ICT Spending and Share of Data Market on ICT Spending,86497000000,106408747637,117150590127,40634766673,42029831972,48971953767,51582628220,53345271576,61531193424
Public administration,ICT Spending and Share of Data Market on ICT Spending,43448000000,34152808798,35331130356,44944569572,44514484790,46419313809,48253442622,49062022460,52306613111
Retail and wholesale,ICT Spending and Share of Data Market on ICT Spending,77764000000,63701361733,65703505574,41341168926,42476776885,45186222669,47566921202,49107785288,55903412463
Transport and storage,ICT Spending and Share of Data Market on ICT Spending,16286000000,17392996249,19215176158,13898885846,14082953620,14590435679,15270222411,15721713648,17596397067
Utilities,ICT Spending and Share of Data Market on ICT Spending,13539000000,22098391179,23553318864,16081920393,16646394700,17321097965,18227197705,18748086574,20901039994
Home,ICT Spending and Share of Data Market on ICT Spending,76188000000,45274469000,44628796239,218113425025,217665116777,212016088795,215794118756,217183743559,217532900766
Construction,Total Employment,14956100,15154700,15303352,15005000,15339000,15577000,16286000,17280000,
Education,Total Employment,16063300,16282500,16441200,1699800,17145000,17407000,17651000,18132000,
Finance,Total Employment,6398900,6453000,6516297,6557000,6545000,6568000,6616000,6754000,
Health,Total Employment,23023000,23481900,23712233,24339000,24826000,25182000,25689000,26527000,
Information & Communication,Total Employment,6188100,6293300,6355031,6758000,7000000,7224000,7503000,7920000,
Manufacturing,Total Employment,34015500,34315700,34652301,35350000,35870000,36017000,37026000,38416000,
Professional services,Total Employment,21732000,22000100,22215898,23791000,24358000,24577000,25082000,25812000,
Public Administration,Total Employment,14940600,15099000,15247105,15355000,15480000,15686000,16065000,16686000,
Retail and Wholesale,Total Employment,40205000,40628600,41027124,42154000,42606000,42838000,43819000,45200000,
Transport,Total Employment,11115400,11255500,11365905,11731000,11943000,12126000,12542000,13103000,
Utilities,Total Employment,3098500,3125200,3155855,3268000,3328000,3251000,3221000,3228000,
Construction,Employment Share of Data Professionals,0.8,0.8,0.8,0.8,0.9,1.0,1.0,1.0,
Education,Employment Share of Data Professionals,2.7,2.7,2.7,2.7,2.9,3.0,3.2,3.4,
Finance,Employment Share of Data Professionals,9.1,9.0,9.2,9.4,9.9,10.7,11.0,11.6,
Health,Employment Share of Data Professionals,2.0,1.9,2.0,2.0,2.1,2.3,2.4,2.5,
Information & Communication,Employment Share of Data Professionals,9.9,10.2,10.4,10.1,10.7,11.6,11.7,12.2,
Manufacturing,Employment Share of Data Professionals,2.0,2.0,2.0,2.1,2.2,2.3,2.4,2.5,
Professional services,Employment Share of Data Professionals,5.3,5.4,5.5,5.4,5.7,6.1,6.5,6.9,
Public Administration,Employment Share of Data Professionals,2.5,2.4,2.5,2.5,2.7,2.9,2.9,3.0,
Retail and Wholesale,Employment Share of Data Professionals,2.7,2.6,2.7,2.7,2.9,3.0,3.1,3.2,
Transport,Employment Share of Data Professionals,1.6,1.6,1.6,1.6,1.7,1.8,1.9,1.9,
Utilities,Employment Share of Data Professionals,2.9,2.8,2.9,2.8,3.0,3.3,3.4,3.7,
Construction,Number of Data Professionals,120886,119374,123130,126135,137940,152485,155750,168172,
Education,Number of Data Professionals,434339,436780,450523,459355,489260,529704,565670,615860,
Finance,Number of Data Professionals,580319,582290,600611,614760,650854,704239,728040,781283,
Health,Number of Data Professionals,459594,457894,472300,487502,529108,572918,610073,665788,
Information & Communication,Number of Data Professionals,612694,641379,661558,680377,750028,835135,879846,966623,
Manufacturing,Number of Data Professionals,673174,682867,704352,724828,778641,836105,882827,956485,
Professional services,Number of Data Professionals,1157909,1187834,1225207,1280943,1392226,1511401,1620862,1776892,
Public Administration,Number of Data Professionals,370053,364867,376347,387843,416908,447135,469266,507193,
Retail and Wholesale,Number of Data Professionals,1090668,1075682,1109526,1141156,1215067,1298733,1352185,1451786,
Transport,Number of Data Professionals,181422,181206,186907,191753,206599,220915,233363,252468,
Utilities,Number of Data Professionals,90805,87830,90594,92813,99478,105733,110418,118344,
