Industry,Indicator,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Construction,Data users share of total EU companies,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.9,3.1
Education,Data users share of total EU companies,7.9,8.0,8.1,8.2,8.5,8.5,8.5,8.6,8.8,9.5
Financial Services,Data users share of total EU companies,18.2,18.4,18.7,19.1,19.8,19.8,19.9,20.4,20.9,22.6
Healthcare,Data users share of total EU companies,5.2,5.3,5.4,5.5,5.6,5.6,5.7,5.7,5.9,6.4
Information and communications,Data users share of total EU companies,14.0,14.1,14.5,14.9,15.5,15.5,15.6,16.0,16.4,17.9
Manufacturing,Data users share of total EU companies,8.6,8.7,8.8,9.0,9.2,9.2,9.3,9.4,9.7,10.5
Professional services,Data users share of total EU companies,8.9,8.9,9.1,9.2,9.3,9.3,9.4,9.7,10.0,10.9
Retail and Wholesale,Data users share of total EU companies,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.8,3.0
Transport and Storage,Data users share of total EU companies,12.5,12.6,12.8,13.1,13.5,13.5,13.7,14.2,14.7,15.8
Utilities,Data users share of total EU companies,17.0,17.0,17.4,17.6,18.1,18.4,18.3,18.9,19.6,21.1
