Industry,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Construction,Data Market Value by Industry,225583956,238587883,254470159,275256403,297384570,320543631,327352763,343889056,382818275,433155629,581727797
Education,Data Market Value by Industry,1318762680,1347524482,1442019834,1562372098,1715121217,1903055810,1968567369,2050526326,2228281138,2521357482,3423439759
Financial services,Data Market Value by Industry,9407233821,10091106881,10760130579,11816264024,13145028273,14863551571,15744575137,16860781829,19002684437,21618401999,28926772990
Healthcare,Data Market Value by Industry,1453987380,1560461517,1675828265,1846117875,2031141322,2223398239,2319820405,2485221033,2772336076,3148670783,4223775539
Information & communications,Data Market Value by Industry,4456923499,4876189709,5231061259,5865115412,6531147421,7465448649,7927541604,8453202357,9658316432,10946748662,14677324273
Manufacturing,Data Market Value by Industry,10057588723,10991275147,11736408186,12813522607,14011673295,15264506656,15842327105,16816490988,19404446543,22042191330,29458041733
Professional services,Data Market Value by Industry,6982202868,7337561933,7855180617,8490414971,9116891820,9564662498,10110497456,10777509983,13388337192,15215367122,20332671293
Public administration,Data Market Value by Industry,2627786503,2808403739,3010954951,3280732620,3642739672,3983679082,4083031036,4282014259,4583938119,5196486037,6973135343
Retail and wholesale,Data Market Value by Industry,5107100558,5450824620,5809730338,6319482191,6957172781,7643730823,8019795468,8623275616,10149472022,11484358167,15439136154
Transport and storage,Data Market Value by Industry,2212052345,2307007374,2463842996,2689866138,2937002681,3269518027,3487636893,3768996837,4561345624,5177437952,6941798050
Utilities,Data Market Value by Industry,1892069061,2107493748,2239979140,2466270272,2728546881,2997484735,3122890562,3372781172,4102027550,4656735650,6245233193
Home,Data Market Value by Industry,1679197946,1771410666,1871133807,2070607956,2172517698,2287136454,2320211240,2418738174,2821538433,3197212193,4284139824
