Industry,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Construction,Share of Data Market by Industry,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
Education,Share of Data Market by Industry,2.8,2.6,2.7,2.6,2.6,2.7,2.6,2.6,2.4,2.4,2.4
Financial services,Share of Data Market by Industry,19.8,19.8,19.8,19.9,20.1,20.7,20.9,21.0,20.4,20.5,20.4
Healthcare,Share of Data Market by Industry,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0
Information & communications,Share of Data Market by Industry,9.4,9.6,9.6,9.9,10.0,10.4,10.5,10.5,10.4,10.4,10.4
Manufacturing,Share of Data Market by Industry,21.2,21.6,21.6,21.5,21.5,21.3,21.0,21.0,20.9,20.9,20.8
Professional services,Share of Data Market by Industry,14.7,14.4,14.5,14.3,14.0,13.3,13.4,13.4,14.4,14.4,14.4
Public administration,Share of Data Market by Industry,5.5,5.5,5.5,5.5,5.6,5.5,5.4,5.3,4.9,4.9,4.9
Retail and wholesale,Share of Data Market by Industry,10.8,10.7,10.7,10.6,10.7,10.6,10.7,10.7,10.9,10.9,10.9
Transport and storage,Share of Data Market by Industry,4.7,4.5,4.5,4.5,4.5,4.5,4.6,4.7,4.9,4.9,4.9
Utilities,Share of Data Market by Industry,4.0,4.1,4.1,4.1,4.2,4.2,4.1,4.2,4.4,4.4,4.4
Home,Share of Data Market by Industry,3.5,3.5,3.4,3.5,3.3,3.2,3.1,3.0,3.0,3.0,3.0
