Industry,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Construction,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,5715000000,4636672010,4338910745,3739610273,3617910761,3650034423,3804807176,3886963650,4191114792,4358943650,4488319458
Education,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,11166000000,12153517663,13636576629,11602912705,11776783698,12269606760,12889376976,13057806227,14148186467,14714735964,15151477297
Financial services,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,93290000000,97816967138,104753702283,76714775786,78005179318,80841448115,84961123463,87142292804,97719207228,10163227184,10464877271
Healthcare,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,15947000000,15638627038,16115954197,14006211201,14125440698,14464182811,15131101361,15573438568,17516985714,18218435294,18759168320
Information & communications,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,95374000000,104271000000,110332000000,40512528690,42235020521,49040106303,5102571974,52189720426,55977393685,58218950532,59946920515
Manufacturing,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,47072000000,61813000000,65084000000,86281991784,87615019777,91828846506,96834380149,100010993281,114161907647,118733403189,122257474904
Professional services,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,86497000000,106408747637,117150590127,40634766673,42029831972,48971953767,51582628220,53345271576,61531193424,63995146439,65894557044
Public administration,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,43448000000,34152808798,35331130356,44944569572,44514484790,46419313809,48253442622,49062022460,52306613111,54401177345,56015833752
Retail and wholesale,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,77764000000,63701361733,65703505574,41341168926,42476776885,45186222669,47566921202,49107785288,55903412463,58142006808,59867693060
Transport and storage,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,16286000000,17392996249,19215176158,13898885846,14082953620,14590435679,15270222411,15721713648,17596397067,18301026592,18844210973
Utilities,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,13539000000,22098391179,23553318864,16081920393,16646394700,17321097965,18227197705,18748086574,20901039994,21738000528,22383196156
Home,ICT Spending by Industry and Share of Data Market on ICT Spending by Industry,76188000000,45274469000,44628796239,218113425025,217665116777,212016088795,215794118756,217183743559,217532900766,221578960616,228155544174
