Industry,Indicator,2013,2014,2015,2016,2017,2018,2019,2020
Construction,Employment Share of Data Professionals by Industry,0.8,0.8,0.8,0.8,0.9,1.0,1.0,1.0
Education,Employment Share of Data Professionals by Industry,2.7,2.7,2.7,2.7,2.9,3.0,3.2,3.4
Finance,Employment Share of Data Professionals by Industry,9.1,9.0,9.2,9.4,9.9,10.7,11.0,11.6
Health,Employment Share of Data Professionals by Industry,2.0,1.9,2.0,2.0,2.1,2.3,2.4,2.5
Information & Communication,Employment Share of Data Professionals by Industry,9.9,10.2,10.4,10.1,10.7,11.6,11.7,12.2
Manufacturing,Employment Share of Data Professionals by Industry,2.0,2.0,2.0,2.1,2.2,2.3,2.4,2.5
Professional services,Employment Share of Data Professionals by Industry,5.3,5.4,5.5,5.4,5.7,6.1,6.5,6.9
Public Administration,Employment Share of Data Professionals by Industry,2.5,2.4,2.5,2.5,2.7,2.9,2.9,3.0
Retail and Wholesale,Employment Share of Data Professionals by Industry,2.7,2.6,2.7,2.7,2.9,3.0,3.1,3.2
Transport,Employment Share of Data Professionals by Industry,1.6,1.6,1.6,1.6,1.7,1.8,1.9,1.9
Utilities,Employment Share of Data Professionals by Industry,2.9,2.8,2.9,2.8,3.0,3.3,3.4,3.7
