Industry,Indicator,2013,2014,2015,2016,2017,2018,2020,2025_c,2025_b,2025_h
Construction,Share of Data Marke by Industry,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
Education,Share of Data Marke by Industry,2.8,2.6,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5
Financial services,Share of Data Marke by Industry,19.8,19.8,19.8,19.9,20.1,20.3,20.4,20,20.1,20.1
Healthcare,Share of Data Marke by Industry,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.9,2.9,3
Information & communications,Share of Data Marke by Industry,9.4,9.6,9.6,9.9,10,10.1,10.3,10.6,10.5,10.5
"Mining, Manufacturing",Share of Data Marke by Industry,21.2,21.6,21.6,21.5,21.5,21.3,21,20.8,20.8,20.8
Professional services,Share of Data Marke by Industry,14.7,14.4,14.5,14.3,14,14.1,14.4,15.3,15.3,15.3
Public administration ,Share of Data Marke by Industry,5.5,5.5,5.5,5.5,5.6,5.5,5.4,5.2,5.2,5.2
Retail and wholesale,Share of Data Marke by Industry,10.8,10.7,10.7,10.6,10.7,10.6,10.6,10.5,10.4,10.4
Transport and storage,Share of Data Marke by Industry,4.7,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Utilities,Share of Data Marke by Industry,4,4.1,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4.1
Home,Share of Data Marke by Industry,3.5,3.5,3.4,3.5,3.3,3.2,3.1,3.2,3.2,3.2
