Country,Abbr,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Austria,AT,Number of Data Suppliers by Member State,3904,4100,4250,4250,4450,4600,4700,4750,4850,5100,5750
Belgium,BE,Number of Data Suppliers by Member State,2352,2250,2300,2350,2450,2550,2600,2900,3200,3450,4050
Bulgaria,BG,Number of Data Suppliers by Member State,1051,1050,1100,1150,1150,1200,1250,1300,1500,1600,1650
Croatia,HR,Number of Data Suppliers by Member State,626,600,650,700,700,730,770,790,880,910,980
Cyprus,CY,Number of Data Suppliers by Member State,452,400,450,400,500,510,520,550,610,680,680
Czech Republic,CZ,Number of Data Suppliers by Member State,1977,1850,1900,1950,2000,2100,2200,2250,2300,2550,2900
Denmark,DK,Number of Data Suppliers by Member State,2728,3550,3600,3650,3850,4050,4100,4150,4400,4600,5300
Estonia,EE,Number of Data Suppliers by Member State,425,450,450,450,480,540,560,580,620,680,780
Finland,FI,Number of Data Suppliers by Member State,2978,2600,2750,2850,2950,3050,3150,3150,3250,3400,3650
France,FR,Number of Data Suppliers by Member State,12187,11700,12050,12300,12800,13500,13800,13800,14450,14700,16900
Germany,DE,Number of Data Suppliers by Member State,26341,24150,24950,25500,26660,27750,28350,28450,30450,31300,34300
Greece,EL,Number of Data Suppliers by Member State,3128,5350,5350,5450,5600,5800,5900,6050,6850,7450,7550
Hungary,HU,Number of Data Suppliers by Member State,3453,3100,3200,3250,3450,3550,3650,3750,4150,4400,4700
Ireland,IE,Number of Data Suppliers by Member State,3568,3100,3200,3350,3500,3700,3800,3800,4350,4500,4850
Italy,IT,Number of Data Suppliers by Member State,18493,18100,18400,18450,19100,19800,20200,20650,21050,22250,26500
Latvia,LV,Number of Data Suppliers by Member State,475,500,500,550,550,580,610,620,670,730,740
Lithuania,LT,Number of Data Suppliers by Member State,676,600,600,600,650,680,720,730,800,900,950
Luxembourg,LU,Number of Data Suppliers by Member State,450,450,450,450,500,540,570,590,700,720,810
Malta,MT,Number of Data Suppliers by Member State,225,200,200,250,210,240,250,260,310,320,350
Netherlands,NL,Number of Data Suppliers by Member State,8609,4950,5200,5300,5500,5800,5950,6600,7150,7750,8450
Poland,PL,Number of Data Suppliers by Member State,5255,5250,5300,5650,5800,6050,6250,6300,6850,7650,8700
Portugal,PT,Number of Data Suppliers by Member State,3704,3850,3950,3950,4050,4250,4350,4400,4650,5000,5300
Romania,RO,Number of Data Suppliers by Member State,2402,5200,5300,5450,5500,5650,5750,5800,6100,6300,7250
Slovakia,SK,Number of Data Suppliers by Member State,1802,2000,2100,2150,2250,2400,2500,2650,3050,3400,3850
Slovenia,SI,Number of Data Suppliers by Member State,501,500,500,500,550,570,600,630,690,770,780
Spain,ES,Number of Data Suppliers by Member State,13664,14850,15150,15250,15750,16300,16600,16750,17050,18900,21400
Sweden,SE,Number of Data Suppliers by Member State,8258,7750,8050,8150,8500,8950,9200,10850,12200,13400,14050
United Kingdom,UK,Number of Data Suppliers by Member State,110161,115150,117200,127150,132250,137950,141100,144250,154100,160950,190850
