Country,Abbr,Indicator,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Austria,AT,Share of data users of total EU companies,7.0,7.1,7.1,7.2,7.3,7.4,7.4,7.5,7.6,8.3
Belgium,BE,Share of data users of total EU companies,8.3,8.4,8.5,8.6,8.7,8.8,9.2,9.9,10.4,11.5
Bulgaria,BG,Share of data users of total EU companies,1.8,1.8,1.7,1.7,1.8,1.9,1.9,2.0,2.1,2.2
Croatia,HR,Share of data users of total EU companies,1.8,1.8,1.8,1.9,1.9,1.9,2.0,2.0,2.1,2.1
Cyprus,CY,Share of data users of total EU companies,5.3,5.2,5.4,5.6,5.5,5.7,5.8,6.6,6.6,6.5
Czech Republic,CZ,Share of data users of total EU companies,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.2,3.5
Denmark,DK,Share of data users of total EU companies,6.3,6.4,6.4,6.6,6.7,6.6,6.6,6.8,7.0,7.6
Estonia,EE,Share of data users of total EU companies,3.8,3.9,3.9,3.8,4.1,4.2,4.1,4.3,4.5,4.9
Finland,FI,Share of data users of total EU companies,7.0,7.1,7.2,7.2,7.3,7.4,7.3,7.4,7.5,7.8
France,FR,Share of data users of total EU companies,7.7,7.8,7.9,8.1,8.2,8.2,8.2,8.4,8.4,9.2
Germany,DE,Share of data users of total EU companies,7.8,7.9,8.1,8.2,8.4,8.4,8.4,8.6,8.7,9.2
Greece,EL,Share of data users of total EU companies,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2.0,2.2,2.2
Hungary,HU,Share of data users of total EU companies,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.7,1.8,1.9
Ireland,IE,Share of data users of total EU companies,9.6,9.6,9.6,9.9,10.1,10.1,10.1,10.6,10.9,11.4
Italy,IT,Share of data users of total EU companies,7.2,7.2,7.1,7.3,7.4,7.4,7.5,7.6,7.8,8.7
Latvia,LV,Share of data users of total EU companies,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.7,2.8
Lithuania,LT,Share of data users of total EU companies,2.8,2.8,2.8,3.0,3.0,3.0,3.1,3.2,3.3,3.3
Luxembourg,LU,Share of data users of total EU companies,8.8,9.0,8.6,9.2,9.6,9.6,9.5,10.4,10.6,11.4
Malta,MT,Share of data users of total EU companies,7.6,7.6,7.1,7.0,7.7,7.8,8.0,8.7,8.8,9.1
Netherlands,NL,Share of data users of total EU companies,11.4,11.7,12.0,12.3,12.5,12.6,13.2,13.8,14.5,15.2
Poland,PL,Share of data users of total EU companies,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.4,2.6
Portugal,PT,Share of data users of total EU companies,6.6,6.6,6.6,6.7,6.8,6.8,6.8,7.0,7.3,7.6
Romania,RO,Share of data users of total EU companies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1
Slovakia,SK,Share of data users of total EU companies,1.6,1.7,1.7,1.7,1.8,1.8,1.8,2.0,2.1,2.3
Slovenia,SI,Share of data users of total EU companies,2.0,2.0,2.0,2.1,2.2,2.2,2.2,2.3,2.5,2.5
Spain,ES,Share of data users of total EU companies,6.3,6.3,6.3,6.4,6.5,6.5,6.5,6.6,7.0,7.5
Sweden,SE,Share of data users of total EU companies,7.2,7.3,7.5,7.6,7.9,7.9,8.6,9.1,9.6,9.9
United Kingdom,UK,Share of data users of total EU companies,10.6,10.7,11.0,11.3,11.6,11.6,11.7,12.0,12.3,13.6
