Country,Abbr,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Austria,AT,Data Companies Revenues by Member State,1118214961,1216034802,1305262124,1378776934,1555562596,1717952023,1877788533,1898248233,2044903893,2493501993,3336626093
Belgium,BE,Data Companies Revenues by Member State,1400133826,1406250000,1460500000,1477218905,1628647588,1788642601,2031335964,2380818927,2850541208,3722597870,5388649785
Bulgaria,BG,Data Companies Revenues by Member State,88334501,111300000,126500000,158146670,176469990,227061857,283541505,320228437,436757719,635234285,761065549
Croatia,HR,Data Companies Revenues by Member State,67868399,75000000,84500000,82530628,105298093,137988000,163609147,187815240,191409502,293524739,297438308
Cyprus,CY,Data Companies Revenues by Member State,102715648,80800000,92250000,95793391,107483960,125888372,147716450,178185477,181554718,217764092,307543912
Czech Republic,CZ,Data Companies Revenues by Member State,221977084,305250000,342000000,308604957,333466563,386809466,467353425,640613546,691821264,859331736,969484273
Denmark,DK,Data Companies Revenues by Member State,971978707,1263800000,1404000000,1609477618,1739671867,1877101370,1886100291,1991566505,2015625899,2325823560,3298344723
Estonia,EE,Data Companies Revenues by Member State,171440862,182250000,183600000,199242458,230310737,267950026,308127158,350958283,369641486,494751266,693677743
Finland,FI,Data Companies Revenues by Member State,762393758,884000000,962500000,918204246,1147798380,1251326900,1444705057,1599325308,1607803747,1701258055,2045496477
France,FR,Data Companies Revenues by Member State,6847406619,6961500000,7338450000,7915119283,8746333107,9881139439,10782964670,12398248088,12402351272,14570576801,21534695171
Germany,DE,Data Companies Revenues by Member State,10780865407,10867500000,11976000000,13367229550,15193712329,17186348129,18629489890,19748039165,23527057008,27802809167,40147367171
Greece,EL,Data Companies Revenues by Member State,456973910,428000000,454750000,464150877,358279995,359121233,362450088,399535224,403683350,434006464,502519653
Hungary,HU,Data Companies Revenues by Member State,158870100,306900000,336000000,314988297,381199843,434307453,481403839,542575660,600453307,761169700,887665819
Ireland,IE,Data Companies Revenues by Member State,806423885,821500000,928000000,910656441,1161259352,1378992045,1505363221,1635988435,1665082004,2071156134,2688776951
Italy,IT,Data Companies Revenues by Member State,4396251931,4362100000,4600000000,4735695922,5235225324,5847615394,6348559003,6998974244,7185595201,8680461066,13518373554
Latvia,LV,Data Companies Revenues by Member State,100700000,107500000,108500000,118440156,144328691,172773051,205298377,212860330,235220006,313480680,375059817
Lithuania,LT,Data Companies Revenues by Member State,162240000,162000000,168000000,183520084,216788333,252808699,288832068,290438243,335838802,437036481,519175224
Luxembourg,LU,Data Companies Revenues by Member State,94191723,103500000,110250000,120770168,130657658,142773771,153434790,184574016,185757745,212859848,285004842
Malta,MT,Data Companies Revenues by Member State,43772319,43000000,46000000,50275151,49927771,54059715,57234594,69971104,89160134,121461308,162325417
Netherlands,NL,Data Companies Revenues by Member State,2541294187,2871000000,3146000000,3423869549,3796337375,4240838587,4511788914,5266459755,6797982518,8868846418,12260298314
Poland,PL,Data Companies Revenues by Member State,683150000,1260000000,1378000000,1768364635,1822197623,2030322336,2302162651,2463371803,3266283403,4189403209,5553415279
Portugal,PT,Data Companies Revenues by Member State,792641659,872794300,908500000,944758090,989462419,1044058767,1062445577,1155417258,1189754882,1517630031,1988338335
Romania,RO,Data Companies Revenues by Member State,22966522,431600000,450500000,452226400,470365813,528217179,600517811,698443020,698923442,844393044,1205797588
Slovakia,SK,Data Companies Revenues by Member State,100033136,160000000,168000000,199693006,185917108,188524536,199982490,231437548,388726845,534517613,713025554
Slovenia,SI,Data Companies Revenues by Member State,46401258,60000000,65000000,57174858,75752256,93047514,106536244,121499481,130315716,186146540,238281167
Spain,ES,Data Companies Revenues by Member State,3047728937,3118500000,3333000000,3490889641,3946108688,4462778188,4874738277,5233427892,5382230244,7132684951,8680284195
Sweden,SE,Data Companies Revenues by Member State,1920112293,1938937019,2133250000,2432100117,2550119274,2869230942,3178712760,3850599752,5274018073,7200509998,7991690578
United Kingdom,UK,Data Companies Revenues by Member State,9694717041,11284700000,12423200000,14603012458,16367098986,18349737327,19282828311,20268377615,23647933505,29352682310,45444489591
