"Country","Abbr","Indicator","2016_17_growth"
"Austria","AT","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","9.6"
"Belgium","BE","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","6.8"
"Bulgaria","BG","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","4.4"
"Croatia","HR","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","17.1"
"Cyprus","CY","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","-4.1"
"Czech Republic","CZ","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","-1.2"
"Denmark","DK","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","2.1"
"Estonia","EE","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","8.5"
"Finland","FI","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors",16
"France","FR","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","3.1"
"Germany","DE","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","14.9"
"Greece","EL","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","-22.6"
"Hungary","HU","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","11.7"
"Ireland","IE","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","12.1"
"Italy","IT","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","8.5"
"Latvia","LV","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","9.9"
"Lithuania","LT","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","1.9"
"Luxembourg","LU","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","25.1"
"Malta","MT","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","-44.9"
"Netherlands","NL","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors",6
"Poland","PL","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors",-8
"Portugal","PT","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","3.2"
"Romania","RO","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","1.9"
"Slovakia","SK","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","-21.5"
"Slovenia","SI","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","21.4"
"Spain","ES","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","6.8"
"Sweden","SE","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","-11.1"
"United Kingdom","UK","2016/17 Growth Share of DC Revenues on total revenues in J and M sectors","-5.8"
