Country,Abbr,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Austria,AT,Data Economy Value by Member State,6630457232.0,6873716592.0,7426134805.0,7582978127.0,8272101357.0,9067897262.0,9733122066.0,10493955447,12763693039.0,15304290018,22778146945.0
Belgium,BE,Data Economy Value by Member State,7236051333.0,7674185300.0,7391163910.0,7730699808.0,8826497348.0,10132140421.0,10918914360.0,12286553046,16374865503.0,20682091900,31553111954.0
Bulgaria,BG,Data Economy Value by Member State,266453456.0,382308546.0,528590318.0,597519392.0,736277637.0,916135968.0,990150159.0,1128735414,1680265134.0,2054912104,3260335241.0
Croatia,HR,Data Economy Value by Member State,219123811.0,296768875.0,408621753.0,414407467.0,572724188.0,698099148.0,763027758.0,843648917,1200698109.0,1456627606,2202941529.0
Cyprus,CY,Data Economy Value by Member State,365256879.0,341315878.0,3007595093.0,305926302.0,405479740.0,506024100.0,555716581.0,624497100,917139952.0,1113281491,1759895367.0
Czech Republic,CZ,Data Economy Value by Member State,1028036839.0,1308141993.0,1897642300.0,1914137355.0,2461783080.0,2754486181.0,2942816830.0,3220892684,4016635142.0,5078227603,7721296925.0
Denmark,DK,Data Economy Value by Member State,5521844605.0,5764379788.0,6052401160.0,6580065827.0,7309683468.0,8176774981.0,8757442121.0,9467043239,11386781728.0,13983678548,21071585050.0
Estonia,EE,Data Economy Value by Member State,448222244.0,483813121.0,475136636.0,510274767.0,655228808.0,856352800.0,932395124.0,1039962629,1479504479.0,1851089861,3299528603.0
Finland,FI,Data Economy Value by Member State,3936532519.0,4222034405.0,4211824147.0,4241931979.0,5072884417.0,5599007917.0,6020044389.0,6482451852,7697586340.0,9664945611,14301970489.0
France,FR,Data Economy Value by Member State,34373065501.0,34500212764.0,36352174573.0,37974438573.0,42855379687.0,47681177324.0,51324121170.0,55582185622,67043886275.0,83696406136,126139648718.0
Germany,DE,Data Economy Value by Member State,64952434728.0,67359549106.0,74274487201.0,77027718182.0,84230510677.0,93114475535.0,100379543161.0,108791304448,127896452923.0,160684047686,238113652319.0
Greece,EL,Data Economy Value by Member State,1480106007.0,1525130924.0,1233132256.0,1295251220.0,1469924383.0,1723760086.0,1833456405.0,2006000383,2510063133.0,3154793046,4742647406.0
Hungary,HU,Data Economy Value by Member State,497479650.0,669874728.0,978593402.0,995809925.0,1368268075.0,1728596788.0,1858846529.0,2045688301,2847403307.0,3502900129,5465295220.0
Ireland,IE,Data Economy Value by Member State,4479965691.0,4576600041.0,5037006370.0,5275961105.0,6611603167.0,7853180545.0,8347339045.0,8961722654,10511736961.0,13800499240,19851443300.0
Italy,IT,Data Economy Value by Member State,25290527318.0,26289079321.0,27513600731.0,28406333259.0,29783297459.0,32345613942.0,34753657033.0,37760914153,43565457734.0,54311354045,82484980295.0
Latvia,LV,Data Economy Value by Member State,497028382.0,427058620.0,283510464.0,307370857.0,411161058.0,510817885.0,557815467.0,612038932,869652637.0,1090052320,1682084335.0
Lithuania,LT,Data Economy Value by Member State,809637750.0,703130418.0,460909818.0,501030193.0,669504639.0,824733738.0,901695611.0,989870218,1443916160.0,1805585881,2667103673.0
Luxembourg,LU,Data Economy Value by Member State,323889544.0,342051810.0,352040109.0,373023782.0,484959019.0,564802371.0,614781878.0,662753719,899402771.0,1074342362,1635552650.0
Malta,MT,Data Economy Value by Member State,156341213.0,163864408.0,173092205.0,186941081.0,239567532.0,278554789.0,297829035.0,328363189,414610187.0,499361657,749630596.0
Netherlands,NL,Data Economy Value by Member State,12846232794.0,13532198051.0,15792215914.0,16719020283.0,19236823931.0,22547862317.0,24284998292.0,27456896640,34987124139.0,45008406608,68922644821.0
Poland,PL,Data Economy Value by Member State,2200171853.0,2961302950.0,4225476510.0,4653465074.0,5353726514.0,5709633376.0,6139696056.0,6516954998,8149055622.0,9510825597,12620916412.0
Portugal,PT,Data Economy Value by Member State,2498201786.0,2701474133.0,2734885096.0,2822637077.0,3267066302.0,3735969124.0,3986478668.0,4341428203,5548094028.0,7017513151,10497603086.0
Romania,RO,Data Economy Value by Member State,752852039.0,1076964595.0,1486150792.0,1540036280.0,1889775331.0,2179396436.0,2327544465.0,2514693684,3150019655.0,3859083761,5937161647.0
Slovakia,SK,Data Economy Value by Member State,282367903.0,474575486.0,743480680.0,835327301.0,1134925874.0,1401328817.0,1537036492.0,1728357858,2475646199.0,3125804399,5094312202.0
Slovenia,SI,Data Economy Value by Member State,174117544.0,244792208.0,329877349.0,324551514.0,437293248.0,522542136.0,572189402.0,642326569,861384421.0,1133452873,1659561757.0
Spain,ES,Data Economy Value by Member State,18922030560.0,19503376511.0,20334662684.0,20970942547.0,24152253997.0,27469668431.0,29709602603.0,32427269837,39120740597.0,54362572616,83407395832.0
Sweden,SE,Data Economy Value by Member State,6819281090.0,7313361938.0,7987084044.0,8611481148.0,1007688149.0,12738118626.0,13817837731.0,16152494422,22547700031.0,30956900073,47469043871.0
United Kingdom,UK,Data Economy Value by Member State,43832727501.0,45877689780.0,56648795535.0,61289952437.0,68616415103.0,76233730911.0,81610129502.0,88815987870,104355529686.0,124480089746,209619866799.0
