Country,Abbr,Indicator,2013,2014,2015,2016,2017,2018,2020,2025_c,2025_b,2025_h
Austria,AT,Data Economy Value by MS Total impacts,6630457232,6873716592,7426134805,7582978127,8272101357,9132243277,11035718596,12200299554,15389430379,23241294500
Belgium,BE,Data Economy Value by MS Total impacts,7236051333,7674185300,7391164000,7730699808,8826497348,10131407242,13865382082,16339060959,20480783626,31255711352
Bulgaria,BG,Data Economy Value by MS Total impacts,266453456,382308546,528590318,597519392,736277637,921286511,1518941915,1859040267,2244510947,3267081879
Croatia,HR,Data Economy Value by MS Total impacts,219123811,296768875,408621753,414407467,572724188,711171587,1070931357,1225961650,1535021080,2223157039
Cyprus,CY,Data Economy Value by MS Total impacts,365256879,341315878,300759509,305926302,405479740,514897988,831749030,998904774,1225367300,1771103394
Czech Republic,CZ,Data Economy Value by MS Total impacts,1028036839,1308141993,1897642300,1914137355,2461783080,2848738529,3700717893,3897883789,5189947022,7929532307
Denmark,DK,Data Economy Value by MS Total impacts,5521844605,5764379788,6052401160,6580065827,7309683468,8122939056,10018582522,11560108162,14066681793,21376829754
Estonia,EE,Data Economy Value by MS Total impacts,448222244,483813121,475136636,510274767,655228808,845120431,1501874049,164194348,2196158726,3310792190
Finland,FI,Data Economy Value by MS Total impacts,3936532519,4222034405,4211824147,4241931979,5072884417,5691994633,7031338417,7838098514,9661371245,14372921247
France,FR,Data Economy Value by MS Total impacts,34373065501,34500212764,36352174573,37974438574,42855379687,47970348234,59777225806,67228926790,84253577803,127934973325
Germany,DE,Data Economy Value by MS Total impacts,64952434727,67359549106,74274487201,77027718182,84230510677,93399356130,114301672500,128543209488,163298830098,245002869100
Greece,EL,Data Economy Value by MS Total impacts,1480106007,1525130924,1233132256,1295251220,1469924383,1732093750,2371086035,2496768276,3292045284,4758232457
Hungary,HU,Data Economy Value by MS Total impacts,497479650,669874728,978593402,995809925,1368268075,1683010441,2566571376,2900837032,3711260699,5503379756
Ireland,IE,Data Economy Value by MS Total impacts,4479965691,4576600041,5037006370,5275961105,6611603167,7522592341,9752983574,10586398286,13293107818,18879001584
Italy,IT,Data Economy Value by MS Total impacts,25290527317,26289079321,27513600731,28406333259,29783297459,32528808056,39255912471,43403824629,54961182249,87501820973
Latvia,LV,Data Economy Value by MS Total impacts,497028382,427058620,283510464,307370857,411161058,519564103,810749620,961983989,1155402273,1638987010
Lithuania,LT,Data Economy Value by MS Total impacts,809637749,703130418,460909817,501030193,669504639,839401189,1276036993,1510267377,1842969459,2632738368
Luxembourg,LU,Data Economy Value by MS Total impacts,323889544,342051810,352040109,373023782,484959019,573564946,765311266,896607416,1086938899,1610334730
Malta,MT,Data Economy Value by MS Total impacts,156341213,163864408,173092205,186941081,239567532,271698934,352361872,420037614,505220363,725771120
Netherlands,NL,Data Economy Value by MS Total impacts,12846232794,13532198051,15792215914,16719020283,19236823931,22204225183,30849001265,34824244626,45270744528,67907094783
Poland,PL,Data Economy Value by MS Total impacts,2200171853,2961302950,4225476510,4653465074,5353726514,5716138084,6247489778,7928877792,8728726030,11967079730
Portugal,PT,Data Economy Value by MS Total impacts,2498201786,2701474133,2734885096,2822637077,3267066302,3778160502,5014221054,5593918389,6954054462,10074611543
Romania,RO,Data Economy Value by MS Total impacts,752852039,1076964595,1486150792,1540036280,1889775331,2189837870,2859281053,3264089562,3944518385,6017302716
Slovakia,SK,Data Economy Value by MS Total impacts,282367903,474575486,743480680,835327301,1134925874,1423187573,2207724654,2816679103,3378703592,5115044954
Slovenia,SI,Data Economy Value by MS Total impacts,174117544,244792208,329877349,324551514,437293248,531903578,785251840,913901077,1139166899,1673250757
Spain,ES,Data Economy Value by MS Total impacts,18922030560,19503376511,20334662684,20970942547,24152253997,27397260450,37041123793,43342911420,54448381403,76721924571
Sweden,SE,Data Economy Value by MS Total impacts,6819281090,7313361938,7987084044,8611481148,1007688149,12512295852,20836604808,28853483124,32008651156,44600738392
United Kingdom,UK,Data Economy Value by MS Total impacts,43832727501,45877689779,56648795535,61289952437,68616415103,75212082779,89651293732,101448456489,124886192744,224825345125
