Country,Abbr,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2025_c,2025_b,2025_h
Austria,AT,Number of Data Professionals by Member State,102528.0,102410,101105,103708,113205,119489,122159,130001,138847,140969,174244
Belgium,BE,Number of Data Professionals by Member State,133327.0,139772,121372,122788,126993,128281,128298,133466,134940,135038,151861
Bulgaria,BG,Number of Data Professionals by Member State,64822.0,67244,64858,65950,70774,74920,78084,82349,87628,98252,105884
Croatia,HR,Number of Data Professionals by Member State,34051.0,36167,34958,34467,38548,39815,40571,42585,43380,50346,52799
Cyprus,CY,Number of Data Professionals by Member State,9333.0,9288,9415,9537,10933,11804,12610,14471,19413,20869,23459
Czech Republic,CZ,Number of Data Professionals by Member State,123068.0,122324,128841,131501,141662,151008,154335,167003,221413,223190,255980
Denmark,DK,Number of Data Professionals by Member State,70627.0,69590,70120,75421,81278,89870,98891,111158,159431,173922,219902
Estonia,EE,Number of Data Professionals by Member State,18809.0,19621,18451,19459,21440,23576,25545,28635,39804,44591,56754
Finland,FI,Number of Data Professionals by Member State,68135.0,67897,67750,69601,77000,82820,89917,93902,126482,128782,136719
France,FR,Number of Data Professionals by Member State,709390.0,678429,705216,724989,776568,850011,896936,1014819,1453807,1559591,1944210
Germany,DE,Number of Data Professionals by Member State,1099862,1107187,1140165,1204041,1295142,1397739,1488687,1619458,2182416,2342012,2631199
Greece,EL,Number of Data Professionals by Member State,73499.0,66464,54925,56110,59830,61902,62621,68752,97319,97811,119001
Hungary,HU,Number of Data Professionals by Member State,96409.0,99688,102610,105567,113815,121809,131935,137229,157934,183469,185395
Ireland,IE,Number of Data Professionals by Member State,54304.0,55622,57436,60453,68615,75597,87084,87707,106565,110080,122133
Italy,IT,Number of Data Professionals by Member State,486462.0,489259,482115,490236,527059,573439,606667,676320,813667,959039,1177639
Latvia,LV,Number of Data Professionals by Member State,25650.0,26359,24582,24435,26559,28166,30477,31149,43735,45804,56233
Lithuania,LT,Number of Data Professionals by Member State,41625.0,42357,38066,38168,39868,40746,42038,43472,54627,54920,70878
Luxembourg,LU,Number of Data Professionals by Member State,9708.0,10715,12000,12068,12109,12710,13259,13933,15458,15941,16989
Malta,MT,Number of Data Professionals by Member State,4526.0,4707,4959,5256,6276,7027,8113,8281,12106,13321,15464
Netherlands,NL,Number of Data Professionals by Member State,249135.0,253074,264255,266320,280000,293285,294491,308387,315745,400879,409719
Poland,PL,Number of Data Professionals by Member State,396480.0,408124,421048,430711,468327,507657,533829,580157,682404,754975,876231
Portugal,PT,Number of Data Professionals by Member State,96134.0,106874,103837,108140,121371,137062,155894,164630,210504,238569,267753
Romania,RO,Number of Data Professionals by Member State,136326.0,130002,122399,123743,133609,147472,164896,177526,268748,279740,297224
Slovakia,SK,Number of Data Professionals by Member State,46642.0,48602,49189,51094,55569,64004,75068,87170,130522,162145,201875
Slovenia,SI,Number of Data Professionals by Member State,27789.0,27880,27013,26476,29720,31770,33342,35388,39364,48915,52303
Spain,ES,Number of Data Professionals by Member State,357341.0,362647,350434,354513,386968,422298,451841,508691,682297,751911,946528
Sweden,SE,Number of Data Professionals by Member State,149407.0,154602,153043,160517,176330,194141,205813,221421,222312,280643,284595
United Kingdom,UK,Number of Data Professionals by Member State,1086472.0,1111098,1275268,1312202,1406542,1526083,1574897,1672835,1738888,2014843,2308839
